playerID,name,position,leagueID
717,Bafétimbi Gomis,FW,Premier League
719,Wayne Routledge,AML,Premier League
963,Eder,FW,Ligue 1
712,Jack Cork,MC,Premier League
982,Tim Krul,GK,Premier League
764,Daryl Janmaat,DR,Premier League
941,Fabricio Coloccini,DC,Premier League
849,Chancel Mbemba,DC,Premier League
943,Massadio Haidara,DL,Premier League
768,Vurnon Anita,DMC,Premier League
767,Jack Colback,DMC,Premier League
772,Moussa Sissoko,Sub,Premier League
771,Georginio Wijnaldum,MC,Premier League
851,Gabriel Obertan,Sub,Premier League
850,Papiss Demba Cissé,FW,Premier League
854,Cheick Tioté,DMC,Premier League
774,Siem de Jong,Sub,Premier League
773,Aleksandar Mitrovic,FW,Premier League
846,Maarten Stekelenburg,GK,Premier League
847,Cédric Soares,DR,Premier League
845,Maya Yoshida,DC,Premier League
834,José Fonte,DC,Premier League
884,Matt Targett,DL,Premier League
836,Victor Wanyama,DMC,Premier League
883,Steven Davis,MC,Premier League
840,Dusan Tadic,AMC,Premier League
838,Sadio Mané,FWL,Premier League
844,Jay Rodriguez,Sub,Premier League
841,Graziano Pellè,FW,Premier League
839,Shane Long,Sub,Premier League
832,Cuco Martina,DR,Premier League
491,Petr Cech,GK,Premier League
967,Mathieu Debuchy,DR,Ligue 1
507,Per Mertesacker,DC,Premier League
494,Laurent Koscielny,DC,Premier League
495,Nacho Monreal,DL,Premier League
504,Aaron Ramsey,DMC,Premier League
504,Aaron Ramsey,Sub,Premier League
497,Francis Coquelin,DMC,Premier League
966,Alex Oxlade-Chamberlain,Sub,Premier League
499,Mesut Özil,AMC,Premier League
965,Santiago Cazorla,DMC,Premier League
965,Santiago Cazorla,MC,La Liga
502,Olivier Giroud,Sub,Premier League
503,Theo Walcott,Sub,Premier League
498,Alexis Sánchez,AML,Premier League
527,Adrián,GK,Premier League
530,James Tomkins,DC,Premier League
528,Angelo Ogbonna,DC,Premier League
529,Winston Reid,DC,Premier League
534,Aaron Cresswell,DL,Premier League
532,Cheikhou Kouyaté,MC,Premier League
533,Mark Noble,MC,Premier League
543,Reece Oxford,Sub,Bundesliga
939,Mauro Zárate,Sub,Serie A
656,Diafra Sakho,FW,Premier League
536,Dimitri Payet,AMC,Ligue 1
1029,Modibo Maiga,FW,Ligue 1
1028,Kevin Nolan,Sub,Premier League
1028,Kevin Nolan,AMC,Premier League
800,Matthew Jarvis,Sub,Premier League
856,Jack Butland,GK,Premier League
944,Glen Johnson,DR,Premier League
860,Marc Muniesa,DC,Premier League
859,Geoff Cameron,DC,Premier League
887,Erik Pieters,DL,Premier League
862,Glenn Whelan,DMC,Premier League
946,Marco van Ginkel,MC,Serie A
863,Jonathan Walters,AMR,Premier League
873,Charlie Adam,Sub,Premier League
864,Ibrahim Afellay,Sub,Premier League
868,Mame Biram Diouf,FW,Premier League
1007,Steve Sidwell,Sub,Premier League
858,Philipp Wollscheid,DC,Premier League
1001,Peter Odemwingie,Sub,Premier League
487,Simon Mignolet,GK,Premier League
603,Nathaniel Clyne,DR,Premier League
