team_name,season,total_goals,total_games,total_points,teamID,name,leagueID,country,standing
Norwich,2015,39,38,34,79,Norwich,Premier League,United Kingdom,19
Aston Villa,2015,27,38,17,71,Aston Villa,Premier League,United Kingdom,20
Chelsea,2016,85,38,93,80,Chelsea,Premier League,United Kingdom,1
Tottenham,2016,86,38,86,82,Tottenham,Premier League,United Kingdom,2
Manchester City,2016,80,38,78,88,Manchester City,Premier League,United Kingdom,3
Liverpool,2016,78,38,76,87,Liverpool,Premier League,United Kingdom,4
Arsenal,2016,77,38,75,83,Arsenal,Premier League,United Kingdom,5
Manchester United,2016,54,38,69,89,Manchester United,Premier League,United Kingdom,6
Everton,2016,62,38,61,72,Everton,Premier League,United Kingdom,7
Bournemouth,2016,55,38,46,73,Bournemouth,Premier League,United Kingdom,8
Southampton,2016,41,38,46,74,Southampton,Premier League,United Kingdom,8
West Bromwich Albion,2016,43,38,45,76,West Bromwich Albion,Premier League,United Kingdom,10
West Ham,2016,47,38,45,81,West Ham,Premier League,United Kingdom,10
Leicester,2016,48,38,44,75,Leicester,Premier League,United Kingdom,12
Stoke,2016,41,38,44,85,Stoke,Premier League,United Kingdom,12
Crystal Palace,2016,50,38,41,78,Crystal Palace,Premier League,United Kingdom,14
Swansea,2016,45,38,41,84,Swansea,Premier League,United Kingdom,14
Burnley,2016,39,38,40,92,Burnley,Premier League,United Kingdom,16
Watford,2016,40,38,40,90,Watford,Premier League,United Kingdom,16
Hull,2016,37,38,34,91,Hull,Premier League,United Kingdom,18
Middlesbrough,2016,27,38,28,93,Middlesbrough,Premier League,United Kingdom,19
Sunderland,2016,29,38,24,77,Sunderland,Premier League,United Kingdom,20
Manchester City,2017,106,38,100,88,Manchester City,Premier League,United Kingdom,1
Manchester United,2017,68,38,81,89,Manchester United,Premier League,United Kingdom,2
Tottenham,2017,74,38,77,82,Tottenham,Premier League,United Kingdom,3
Liverpool,2017,84,38,75,87,Liverpool,Premier League,United Kingdom,4
Chelsea,2017,62,38,70,80,Chelsea,Premier League,United Kingdom,5
Arsenal,2017,74,38,63,83,Arsenal,Premier League,United Kingdom,6
Burnley,2017,36,38,54,92,Burnley,Premier League,United Kingdom,7
Everton,2017,44,38,49,72,Everton,Premier League,United Kingdom,8
Leicester,2017,56,38,47,75,Leicester,Premier League,United Kingdom,9
Bournemouth,2017,45,38,44,73,Bournemouth,Premier League,United Kingdom,10
Crystal Palace,2017,45,38,44,78,Crystal Palace,Premier League,United Kingdom,10
Newcastle United,2017,39,38,44,86,Newcastle United,Premier League,United Kingdom,10
West Ham,2017,48,38,42,81,West Ham,Premier League,United Kingdom,13
Watford,2017,44,38,41,90,Watford,Premier League,United Kingdom,14
Brighton,2017,34,38,40,220,Brighton,Premier League,United Kingdom,15
Huddersfield,2017,28,38,37,219,Huddersfield,Premier League,United Kingdom,16
Southampton,2017,37,38,36,74,Southampton,Premier League,United Kingdom,17
Stoke,2017,35,38,33,85,Stoke,Premier League,United Kingdom,18
Swansea,2017,28,38,33,84,Swansea,Premier League,United Kingdom,18
West Bromwich Albion,2017,31,38,31,76,West Bromwich Albion,Premier League,United Kingdom,20
Manchester City,2018,95,38,98,88,Manchester City,Premier League,United Kingdom,1
Liverpool,2018,89,38,97,87,Liverpool,Premier League,United Kingdom,2
Chelsea,2018,63,38,72,80,Chelsea,Premier League,United Kingdom,3
Tottenham,2018,67,38,71,82,Tottenham,Premier League,United Kingdom,4
Arsenal,2018,73,38,70,83,Arsenal,Premier League,United Kingdom,5
Manchester United,2018,65,38,66,89,Manchester United,Premier League,United Kingdom,6
Wolverhampton Wanderers,2018,47,38,57,229,Wolverhampton Wanderers,Premier League,United Kingdom,7
Everton,2018,54,38,54,72,Everton,Premier League,United Kingdom,8
Leicester,2018,51,38,52,75,Leicester,Premier League,United Kingdom,9
West Ham,2018,52,38,52,81,West Ham,Premier League,United Kingdom,9
Watford,2018,52,38,50,90,Watford,Premier League,United Kingdom,11
Crystal Palace,2018,51,38,49,78,Crystal Palace,Premier League,United Kingdom,12
Bournemouth,2018,56,38,45,73,Bournemouth,Premier League,United Kingdom,13
Newcastle United,2018,42,38,45,86,Newcastle United,Premier League,United Kingdom,13
Burnley,2018,45,38,40,92,Burnley,Premier League,United Kingdom,15
Southampton,2018,45,38,39,74,Southampton,Premier League,United Kingdom,16
Brighton,2018,35,38,36,220,Brighton,Premier League,United Kingdom,17
Cardiff,2018,34,38,34,227,Cardiff,Premier League,United Kingdom,18
Fulham,2018,34,38,26,228,Fulham,Premier League,United Kingdom,19
Huddersfield,2018,22,38,16,219,Huddersfield,Premier League,United Kingdom,20
Liverpool,2019,85,38,99,87,Liverpool,Premier League,United Kingdom,1
Manchester City,2019,102,38,81,88,Manchester City,Premier League,United Kingdom,2
Chelsea,2019,69,38,66,80,Chelsea,Premier League,United Kingdom,3
Manchester United,2019,66,38,66,89,Manchester United,Premier League,United Kingdom,3
Leicester,2019,67,38,62,75,Leicester,Premier League,United Kingdom,5
Tottenham,2019,61,38,59,82,Tottenham,Premier League,United Kingdom,6
Wolverhampton Wanderers,2019,51,38,59,229,Wolverhampton Wanderers,Premier League,United Kingdom,6
Arsenal,2019,56,38,56,83,Arsenal,Premier League,United Kingdom,8
Burnley,2019,43,38,54,92,Burnley,Premier League,United Kingdom,9
Sheffield United,2019,39,38,54,238,Sheffield United,Premier League,United Kingdom,9
Southampton,2019,51,38,52,74,Southampton,Premier League,United Kingdom,11
Everton,2019,44,38,49,72,Everton,Premier League,United Kingdom,12
Newcastle United,2019,38,38,44,86,Newcastle United,Premier League,United Kingdom,13
Crystal Palace,2019,31,38,43,78,Crystal Palace,Premier League,United Kingdom,14
Brighton,2019,39,38,41,220,Brighton,Premier League,United Kingdom,15
West Ham,2019,49,38,39,81,West Ham,Premier League,United Kingdom,16
Aston Villa,2019,41,38,35,71,Aston Villa,Premier League,United Kingdom,17
Bournemouth,2019,40,38,34,73,Bournemouth,Premier League,United Kingdom,18
Watford,2019,36,38,34,90,Watford,Premier League,United Kingdom,18
Norwich,2019,26,38,21,79,Norwich,Premier League,United Kingdom,20
Manchester City,2020,83,38,86,88,Manchester City,Premier League,United Kingdom,1
Manchester United,2020,73,38,74,89,Manchester United,Premier League,United Kingdom,2
Liverpool,2020,68,38,69,87,Liverpool,Premier League,United Kingdom,3
Chelsea,2020,58,38,67,80,Chelsea,Premier League,United Kingdom,4
Leicester,2020,68,38,66,75,Leicester,Premier League,United Kingdom,5
West Ham,2020,62,38,65,81,West Ham,Premier League,United Kingdom,6
Tottenham,2020,68,38,62,82,Tottenham,Premier League,United Kingdom,7
Arsenal,2020,55,38,61,83,Arsenal,Premier League,United Kingdom,8
Everton,2020,47,38,59,72,Everton,Premier League,United Kingdom,9
Leeds,2020,62,38,59,245,Leeds,Premier League,United Kingdom,9
Aston Villa,2020,55,38,55,71,Aston Villa,Premier League,United Kingdom,11
Newcastle United,2020,46,38,45,86,Newcastle United,Premier League,United Kingdom,12
Wolverhampton Wanderers,2020,36,38,45,229,Wolverhampton Wanderers,Premier League,United Kingdom,12
Crystal Palace,2020,41,38,44,78,Crystal Palace,Premier League,United Kingdom,14
Southampton,2020,47,38,43,74,Southampton,Premier League,United Kingdom,15
Brighton,2020,40,38,41,220,Brighton,Premier League,United Kingdom,16
Burnley,2020,33,38,39,92,Burnley,Premier League,United Kingdom,17
Fulham,2020,27,38,28,228,Fulham,Premier League,United Kingdom,18
West Bromwich Albion,2020,35,38,26,76,West Bromwich Albion,Premier League,United Kingdom,19
Sheffield United,2020,20,38,23,238,Sheffield United,Premier League,United Kingdom,20
Juventus,2014,72,38,87,98,Juventus,Serie A,Italy,1
Roma,2014,54,38,70,95,Roma,Serie A,Italy,2
Lazio,2014,71,38,69,96,Lazio,Serie A,Italy,3
Fiorentina,2014,61,38,64,110,Fiorentina,Serie A,Italy,4
Napoli,2014,70,38,63,105,Napoli,Serie A,Italy,5
Genoa,2014,62,38,59,101,Genoa,Serie A,Italy,6
Sampdoria,2014,48,38,56,102,Sampdoria,Serie A,Italy,7
Inter,2014,59,38,55,106,Inter,Serie A,Italy,8
Torino,2014,48,38,54,113,Torino,Serie A,Italy,9
AC Milan,2014,56,38,52,111,AC Milan,Serie A,Italy,10
Palermo,2014,53,38,49,100,Palermo,Serie A,Italy,11
Sassuolo,2014,49,38,49,104,Sassuolo,Serie A,Italy,11
Verona,2014,49,38,46,94,Verona,Serie A,Italy,13
Chievo,2014,28,38,43,109,Chievo,Serie A,Italy,14
Empoli,2014,46,38,42,108,Empoli,Serie A,Italy,15
Udinese,2014,43,38,41,99,Udinese,Serie A,Italy,16
Atalanta,2014,38,38,37,107,Atalanta,Serie A,Italy,17
Cagliari,2014,48,38,34,116,Cagliari,Serie A,Italy,18
Parma Calcio 1913,2014,33,38,26,230,Parma Calcio 1913,Serie A,Italy,19
Cesena,2014,36,38,24,203,Cesena,Serie A,Italy,20
Juventus,2015,75,38,91,98,Juventus,Serie A,Italy,1
Napoli,2015,80,38,82,105,Napoli,Serie A,Italy,2
Roma,2015,83,38,80,95,Roma,Serie A,Italy,3
Inter,2015,50,38,67,106,Inter,Serie A,Italy,4
Fiorentina,2015,60,38,64,110,Fiorentina,Serie A,Italy,5
Sassuolo,2015,49,38,61,104,Sassuolo,Serie A,Italy,6
AC Milan,2015,49,38,57,111,AC Milan,Serie A,Italy,7
Lazio,2015,52,38,54,96,Lazio,Serie A,Italy,8
Chievo,2015,43,38,50,109,Chievo,Serie A,Italy,9
Empoli,2015,40,38,46,108,Empoli,Serie A,Italy,10
Genoa,2015,45,38,46,101,Genoa,Serie A,Italy,10
Atalanta,2015,41,38,45,107,Atalanta,Serie A,Italy,12
Torino,2015,52,38,45,113,Torino,Serie A,Italy,12
Bologna,2015,33,38,42,97,Bologna,Serie A,Italy,14
Sampdoria,2015,48,38,40,102,Sampdoria,Serie A,Italy,15
Palermo,2015,38,38,39,100,Palermo,Serie A,Italy,16
Udinese,2015,35,38,39,99,Udinese,Serie A,Italy,16
Carpi,2015,37,38,38,103,Carpi,Serie A,Italy,18
Frosinone,2015,35,38,31,112,Frosinone,Serie A,Italy,19
Verona,2015,34,38,28,94,Verona,Serie A,Italy,20
Juventus,2016,77,38,91,98,Juventus,Serie A,Italy,1
Roma,2016,90,38,87,95,Roma,Serie A,Italy,2
Napoli,2016,94,38,86,105,Napoli,Serie A,Italy,3
Atalanta,2016,62,38,72,107,Atalanta,Serie A,Italy,4
Lazio,2016,74,38,70,96,Lazio,Serie A,Italy,5
AC Milan,2016,57,38,63,111,AC Milan,Serie A,Italy,6
Inter,2016,72,38,62,106,Inter,Serie A,Italy,7
Fiorentina,2016,63,38,60,110,Fiorentina,Serie A,Italy,8
Torino,2016,71,38,53,113,Torino,Serie A,Italy,9
Sassuolo,2016,60,38,49,104,Sassuolo,Serie A,Italy,10
Sampdoria,2016,49,38,48,102,Sampdoria,Serie A,Italy,11
Cagliari,2016,55,38,47,116,Cagliari,Serie A,Italy,12
Udinese,2016,47,38,45,99,Udinese,Serie A,Italy,13
Chievo,2016,43,38,43,109,Chievo,Serie A,Italy,14
Bologna,2016,40,38,41,97,Bologna,Serie A,Italy,15
Genoa,2016,38,38,36,101,Genoa,Serie A,Italy,16
Crotone,2016,34,38,34,115,Crotone,Serie A,Italy,17
Empoli,2016,29,38,32,108,Empoli,Serie A,Italy,18
Palermo,2016,33,38,26,100,Palermo,Serie A,Italy,19
Pescara,2016,35,38,15,114,Pescara,Serie A,Italy,20
Juventus,2017,86,38,95,98,Juventus,Serie A,Italy,1
Napoli,2017,77,38,91,105,Napoli,Serie A,Italy,2
Roma,2017,61,38,77,95,Roma,Serie A,Italy,3
Inter,2017,66,38,72,106,Inter,Serie A,Italy,4
Lazio,2017,89,38,72,96,Lazio,Serie A,Italy,4
AC Milan,2017,56,38,64,111,AC Milan,Serie A,Italy,6
Atalanta,2017,57,38,60,107,Atalanta,Serie A,Italy,7
Fiorentina,2017,54,38,57,110,Fiorentina,Serie A,Italy,8
Sampdoria,2017,56,38,54,102,Sampdoria,Serie A,Italy,9
Torino,2017,54,38,54,113,Torino,Serie A,Italy,9
Sassuolo,2017,29,38,43,104,Sassuolo,Serie A,Italy,11
Genoa,2017,33,38,41,101,Genoa,Serie A,Italy,12
Chievo,2017,36,38,40,109,Chievo,Serie A,Italy,13
Udinese,2017,48,38,40,99,Udinese,Serie A,Italy,13
Bologna,2017,40,38,39,97,Bologna,Serie A,Italy,15
Cagliari,2017,33,38,39,116,Cagliari,Serie A,Italy,15
SPAL 2013,2017,39,38,38,221,SPAL 2013,Serie A,Italy,17
Crotone,2017,40,38,35,115,Crotone,Serie A,Italy,18
Verona,2017,30,38,25,94,Verona,Serie A,Italy,19
Benevento,2017,33,38,21,222,Benevento,Serie A,Italy,20
Juventus,2018,70,38,90,98,Juventus,Serie A,Italy,1
Napoli,2018,74,38,79,105,Napoli,Serie A,Italy,2
Atalanta,2018,77,38,69,107,Atalanta,Serie A,Italy,3
Inter,2018,57,38,69,106,Inter,Serie A,Italy,3
AC Milan,2018,55,38,68,111,AC Milan,Serie A,Italy,5
Roma,2018,66,38,66,95,Roma,Serie A,Italy,6
Torino,2018,52,38,63,113,Torino,Serie A,Italy,7
Lazio,2018,56,38,59,96,Lazio,Serie A,Italy,8
Sampdoria,2018,60,38,53,102,Sampdoria,Serie A,Italy,9
Bologna,2018,48,38,44,97,Bologna,Serie A,Italy,10
Sassuolo,2018,53,38,43,104,Sassuolo,Serie A,Italy,11
Udinese,2018,39,38,43,99,Udinese,Serie A,Italy,11
SPAL 2013,2018,44,38,42,221,SPAL 2013,Serie A,Italy,13
Cagliari,2018,36,38,41,116,Cagliari,Serie A,Italy,14
Fiorentina,2018,47,38,41,110,Fiorentina,Serie A,Italy,14
Parma Calcio 1913,2018,41,38,41,230,Parma Calcio 1913,Serie A,Italy,14
Empoli,2018,51,38,38,108,Empoli,Serie A,Italy,17
Genoa,2018,39,38,38,101,Genoa,Serie A,Italy,17
Frosinone,2018,29,38,25,112,Frosinone,Serie A,Italy,19
Chievo,2018,25,38,20,109,Chievo,Serie A,Italy,20
Juventus,2019,76,38,83,98,Juventus,Serie A,Italy,1
Inter,2019,81,38,82,106,Inter,Serie A,Italy,2
Atalanta,2019,98,38,78,107,Atalanta,Serie A,Italy,3
Lazio,2019,79,38,78,96,Lazio,Serie A,Italy,3
Roma,2019,77,38,70,95,Roma,Serie A,Italy,5
AC Milan,2019,63,38,66,111,AC Milan,Serie A,Italy,6
Napoli,2019,61,38,62,105,Napoli,Serie A,Italy,7
Sassuolo,2019,69,38,51,104,Sassuolo,Serie A,Italy,8
Fiorentina,2019,51,38,49,110,Fiorentina,Serie A,Italy,9
Parma Calcio 1913,2019,56,38,49,230,Parma Calcio 1913,Serie A,Italy,9
Verona,2019,47,38,49,94,Verona,Serie A,Italy,9
Bologna,2019,52,38,47,97,Bologna,Serie A,Italy,12
Cagliari,2019,52,38,45,116,Cagliari,Serie A,Italy,13
Udinese,2019,37,38,45,99,Udinese,Serie A,Italy,13
Sampdoria,2019,48,38,42,102,Sampdoria,Serie A,Italy,15
Torino,2019,46,38,40,113,Torino,Serie A,Italy,16
Genoa,2019,47,38,39,101,Genoa,Serie A,Italy,17
Lecce,2019,52,38,35,243,Lecce,Serie A,Italy,18
Brescia,2019,35,38,25,242,Brescia,Serie A,Italy,19
SPAL 2013,2019,27,38,20,221,SPAL 2013,Serie A,Italy,20
Inter,2020,89,38,91,106,Inter,Serie A,Italy,1
AC Milan,2020,74,38,79,111,AC Milan,Serie A,Italy,2
Atalanta,2020,90,38,78,107,Atalanta,Serie A,Italy,3
Juventus,2020,77,38,78,98,Juventus,Serie A,Italy,3
Napoli,2020,86,38,77,105,Napoli,Serie A,Italy,5
Lazio,2020,61,38,68,96,Lazio,Serie A,Italy,6
Roma,2020,68,38,63,95,Roma,Serie A,Italy,7
Sassuolo,2020,64,38,62,104,Sassuolo,Serie A,Italy,8
Sampdoria,2020,52,38,52,102,Sampdoria,Serie A,Italy,9
Verona,2020,43,38,43,94,Verona,Serie A,Italy,10
Genoa,2020,47,38,42,101,Genoa,Serie A,Italy,11
Bologna,2020,51,38,41,97,Bologna,Serie A,Italy,12
Fiorentina,2020,47,38,40,110,Fiorentina,Serie A,Italy,13
Udinese,2020,42,38,40,99,Udinese,Serie A,Italy,13
Spezia,2020,52,38,39,260,Spezia,Serie A,Italy,15
Cagliari,2020,43,38,37,116,Cagliari,Serie A,Italy,16
Torino,2020,50,38,37,113,Torino,Serie A,Italy,16
Benevento,2020,40,38,33,222,Benevento,Serie A,Italy,18
Crotone,2020,45,38,23,115,Crotone,Serie A,Italy,19
Parma Calcio 1913,2020,39,38,20,230,Parma Calcio 1913,Serie A,Italy,20
