,team_name,season,total_goals,total_games,total_points,teamID,name,leagueID,country,standing
619,Udinese,2017,48,38,40,99,Udinese,Serie A,Italy,13
620,Bologna,2017,40,38,39,97,Bologna,Serie A,Italy,15
621,Cagliari,2017,33,38,39,116,Cagliari,Serie A,Italy,15
622,SPAL 2013,2017,39,38,38,221,SPAL 2013,Serie A,Italy,17
623,Crotone,2017,40,38,35,115,Crotone,Serie A,Italy,18
624,Verona,2017,30,38,25,94,Verona,Serie A,Italy,19
625,Benevento,2017,33,38,21,222,Benevento,Serie A,Italy,20
626,Juventus,2018,70,38,90,98,Juventus,Serie A,Italy,1
627,Napoli,2018,74,38,79,105,Napoli,Serie A,Italy,2
628,Atalanta,2018,77,38,69,107,Atalanta,Serie A,Italy,3
629,Inter,2018,57,38,69,106,Inter,Serie A,Italy,3
630,AC Milan,2018,55,38,68,111,AC Milan,Serie A,Italy,5
631,Roma,2018,66,38,66,95,Roma,Serie A,Italy,6
632,Torino,2018,52,38,63,113,Torino,Serie A,Italy,7
633,Lazio,2018,56,38,59,96,Lazio,Serie A,Italy,8
634,Sampdoria,2018,60,38,53,102,Sampdoria,Serie A,Italy,9
635,Bologna,2018,48,38,44,97,Bologna,Serie A,Italy,10
636,Sassuolo,2018,53,38,43,104,Sassuolo,Serie A,Italy,11
637,Udinese,2018,39,38,43,99,Udinese,Serie A,Italy,11
638,SPAL 2013,2018,44,38,42,221,SPAL 2013,Serie A,Italy,13
639,Cagliari,2018,36,38,41,116,Cagliari,Serie A,Italy,14
640,Fiorentina,2018,47,38,41,110,Fiorentina,Serie A,Italy,14
641,Parma Calcio 1913,2018,41,38,41,230,Parma Calcio 1913,Serie A,Italy,14
642,Empoli,2018,51,38,38,108,Empoli,Serie A,Italy,17
643,Genoa,2018,39,38,38,101,Genoa,Serie A,Italy,17
644,Frosinone,2018,29,38,25,112,Frosinone,Serie A,Italy,19
645,Chievo,2018,25,38,20,109,Chievo,Serie A,Italy,20
646,Juventus,2019,76,38,83,98,Juventus,Serie A,Italy,1
647,Inter,2019,81,38,82,106,Inter,Serie A,Italy,2
648,Atalanta,2019,98,38,78,107,Atalanta,Serie A,Italy,3
649,Lazio,2019,79,38,78,96,Lazio,Serie A,Italy,3
650,Roma,2019,77,38,70,95,Roma,Serie A,Italy,5
651,AC Milan,2019,63,38,66,111,AC Milan,Serie A,Italy,6
652,Napoli,2019,61,38,62,105,Napoli,Serie A,Italy,7
653,Sassuolo,2019,69,38,51,104,Sassuolo,Serie A,Italy,8
654,Fiorentina,2019,51,38,49,110,Fiorentina,Serie A,Italy,9
655,Parma Calcio 1913,2019,56,38,49,230,Parma Calcio 1913,Serie A,Italy,9
656,Verona,2019,47,38,49,94,Verona,Serie A,Italy,9
657,Bologna,2019,52,38,47,97,Bologna,Serie A,Italy,12
658,Cagliari,2019,52,38,45,116,Cagliari,Serie A,Italy,13
659,Udinese,2019,37,38,45,99,Udinese,Serie A,Italy,13
660,Sampdoria,2019,48,38,42,102,Sampdoria,Serie A,Italy,15
661,Torino,2019,46,38,40,113,Torino,Serie A,Italy,16
662,Genoa,2019,47,38,39,101,Genoa,Serie A,Italy,17
663,Lecce,2019,52,38,35,243,Lecce,Serie A,Italy,18
664,Brescia,2019,35,38,25,242,Brescia,Serie A,Italy,19
665,SPAL 2013,2019,27,38,20,221,SPAL 2013,Serie A,Italy,20
666,Inter,2020,89,38,91,106,Inter,Serie A,Italy,1
667,AC Milan,2020,74,38,79,111,AC Milan,Serie A,Italy,2
668,Atalanta,2020,90,38,78,107,Atalanta,Serie A,Italy,3
669,Juventus,2020,77,38,78,98,Juventus,Serie A,Italy,3
670,Napoli,2020,86,38,77,105,Napoli,Serie A,Italy,5
671,Lazio,2020,61,38,68,96,Lazio,Serie A,Italy,6
672,Roma,2020,68,38,63,95,Roma,Serie A,Italy,7
673,Sassuolo,2020,64,38,62,104,Sassuolo,Serie A,Italy,8
674,Sampdoria,2020,52,38,52,102,Sampdoria,Serie A,Italy,9
675,Verona,2020,43,38,43,94,Verona,Serie A,Italy,10
676,Genoa,2020,47,38,42,101,Genoa,Serie A,Italy,11
677,Bologna,2020,51,38,41,97,Bologna,Serie A,Italy,12
678,Fiorentina,2020,47,38,40,110,Fiorentina,Serie A,Italy,13
679,Udinese,2020,42,38,40,99,Udinese,Serie A,Italy,13
680,Spezia,2020,52,38,39,260,Spezia,Serie A,Italy,15
681,Cagliari,2020,43,38,37,116,Cagliari,Serie A,Italy,16
682,Torino,2020,50,38,37,113,Torino,Serie A,Italy,16
683,Benevento,2020,40,38,33,222,Benevento,Serie A,Italy,18
684,Crotone,2020,45,38,23,115,Crotone,Serie A,Italy,19
685,Parma Calcio 1913,2020,39,38,20,230,Parma Calcio 1913,Serie A,Italy,20
